"X1","X2"
"At the Earth's Core (serialised 1914, published 1922), Edgar Rice Burroughs","At the Earth's Core (1976)"
"At the Étoile du Nord (French: L'Étoile du Nord) (1854), Georges Simenon","L'Etoile du Nord (1982)"
"Atlantis (1912), Gerhart Hauptmann","Atlantis (1913)"
"Atomised (French: Les Particules élémentaires) (1998), Michel Houellebecq","The Elementary Particles (2006)"
"Atomised (French: Les Particules élémentaires) (1998), Michel Houellebecq","The Elementary Particles (2021)[N 1]"
"Atonement (2001), Ian McEwan","Atonement (2007)"
"Audrey Rose (1975), Frank De Felitta","Audrey Rose (1977)"
"The Auction Block (1914), Rex Beach","The Auction Block (1917)"
"The Auction Block (1914), Rex Beach","The Auction Block (1926)"
"Audition (オーディション, Ōdishon) (1997), Ryu Murakami","Audition (1999)"
"Auntie Mame (1955), Patrick Dennis","Auntie Mame (1958)"
"Avalon High (2005), Meg Cabot","Avalon High (2010)[N 1]"
"The Aviator (1981), Ernest K. Gann","The Aviator (1985)"
"Away All Boats (1953), Kenneth M. Dodson","Away All Boats (1956)"
"An Awfully Big Adventure (1989), Beryl Bainbridge","An Awfully Big Adventure (1995)"
"The Ax (1997), Donald E. Westlake","The Axe (French: Le couperet) (2005)"
"Baby Love (1968), Tina Chad Christian","Baby Love (1968)"
"Babylon Babies (1999), Maurice Georges Dantec","Babylon A.D. (2008)"
"Back Street (1931), Fannie Hurst","Back Street (1932)"
"Back Street (1931), Fannie Hurst","Back Street (1941)"
"Back Street (1931), Fannie Hurst","Back Street (1961)"
"Back When We Were Grownups (2001), Anne Tyler","Back When We Were Grownups (2004)"
"Background to Danger (1937) (a. k. a. Uncommon Danger), Eric Ambler","Background to Danger (1943)"
"Bad Girl (1928), Viña Delmar","Bad Girl (1931)"
"The Bad Seed (1954), William March","The Bad Seed (1956)"
"The Bad Seed (1954), William March","The Bad Seed (1985)[N 1]"
"The Bad Seed (1954), William March","The Bad Seed (2018)[N 1]"
"Baise-moi (1993), Virginie Despentes","Baise-moi (2000)"
"The Bait (1968), Dorothy Uhnak","The Bait (1973)[N 1]"
"The Ballad of Cat Ballou (1956), Roy Chanslor","Cat Ballou (1965)"
"The Ballad of the Flim-Flam Man (1965), Guy Owen","The Flim-Flam Man (1967)"
"The Ballad of the Flim-Flam Man (1965), Guy Owen","The Flim-Flam Man (1969)[N 1]"
"The Ballad of the Running Man (1961), Shelley Smith","The Running Man (1963)"
"Balzac and the Little Chinese Seamstress (French: Balzac et la petite tailleuse chinoise) (2000), Dai Sijie","Balzac and the Little Chinese Seamstress (2002)"
"Band of Angels (1955), Robert Penn Warren","Band of Angels (1957)"
"The Bandits of Bombay (Bengali: বোম্বাইয়ের বোম্বেটে, Bombaiyer Bombete) (1976), Satyajit Ray","Bombaiyer Bombete (2003)"
"Bank Shot (1972), Donald E. Westlake","Bank Shot (1974)"
"Banner in the Sky (1900), James Ramsey Ullman","Third Man on the Mountain (1959)"
"The Barefoot Mailman (1943), Theodore Pratt","The Barefoot Mailman (1951)"
"Basil of Baker Street (1958), Eve Titus","The Great Mouse Detective (1986)"
"Bastard Out of Carolina (1992), Dorothy Allison","Bastard Out of Carolina (1996)"
"Battle Cry (1953), Leon Uris","Battle Cry (1955)"
"The Battle of the Villa Fiorita (1963), Rumer Godden","The Battle of the Villa Fiorita (1965)"
"Battle Royale (バトル・ロワイアル, Batoru Rowaiaru) (1999), Koushun Takami","Battle Royale (2000)"
"Battle Royale (バトル・ロワイアル, Batoru Rowaiaru) (1999), Koushun Takami","Battle Royale II: Requiem (バトル・ロワイアルII 鎮魂歌, Batoru Rowaiaru Tsū: ""Rekuiemu"") (2003)"
"Battlefield Earth (1982), L. Ron Hubbard","Battlefield Earth (2000)"
"Be Cool (1999), Elmore Leonard","Be Cool (2005)"
"Be Ready with Bells and Drums (1961), Elizabeth Kata","A Patch of Blue (1965)"
"Be Still, My Love (1947), June Truesdell","The Accused (1949)"
"The Beach (1996), Alex Garland","The Beach (2000)"
"Beaches (1985), Iris Rainer Dart","Beaches (1988)"
"The Beardless Warriors (1960), Richard Matheson","The Young Warriors (1967)"
"Beast (1991), Peter Benchley","The Beast (1996)[N 1]"
"The Beast in Man (French: La Bête humaine) (1890), Émile Zola","Die Bestie im Menschen (1921)"
"The Beast in Man (French: La Bête humaine) (1890), Émile Zola","La Bête Humaine (1938)"
