Book,Movie,wikiMovieYear,isAdult,startYear,runtimeMinutes,genres,genre_1,genre_2,genre_3,averageRating,numVotes,wikiBookAuthor,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,release_date,production_budget,domestic_gross,worldwide_gross,book_year,book_movie_years,ROI,name_match,contains_series
"Do Androids Dream of Electric Sheep? (1967), Philip K. Dick",Blade Runner (1982),1982,0,1982,117,"Action,Drama,Sci-Fi",Action,Drama,Sci-Fi,8.1,866084,Philip K. Dick,Do Androids Dream of Electric Sheep?,"[""Philip K. Dick""]",4.09,457875,NA,NA,NA,NA,NA,NA,NA,"Jun 25, 1982",28000000,32656328,39581774,1967,15,0.4136347857142857,FALSE,FALSE
"Bless the Child (1993), Cathy Cash Spellman",Bless the Child (2000),2000,0,2000,107,"Crime,Drama,Horror",Crime,Drama,Horror,5.1,15833,Cathy Cash Spellman,Bless the Child,"[""Cathy Cash Spellman""]",3.77,684,NA,NA,NA,NA,NA,NA,NA,"Aug 11, 2000",40000000,29374178,40435694,1993,7,0.01089235,TRUE,FALSE
"Blood Work (1998), Michael Connelly",Blood Work (2002),2002,0,2002,110,"Action,Crime,Drama",Action,Crime,Drama,6.4,50095,Michael Connelly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug 9, 2002",50000000,26199517,26199517,1998,4,-0.47600966,TRUE,FALSE
"Breakfast of Champions (1973), Kurt Vonnegut, Jr.",Breakfast of Champions (1999),1999,0,1999,110,Comedy,Comedy,NA,NA,4.6,8616,"Kurt Vonnegut, Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sep 17, 1999",12000000,178287,178287,1973,26,-0.98514275,TRUE,FALSE
"Bridge to Terabithia (1977), Katherine Paterson",Bridge to Terabithia (2007),2007,0,2007,96,"Drama,Family,Fantasy",Drama,Family,Fantasy,7.2,186258,Katherine Paterson,Bridge to Terabithia,"[""Katherine Paterson""]",4.05,551107,NA,NA,NA,NA,NA,NA,NA,"Feb 16, 2007",25000000,82234139,137984788,1977,30,4.51939152,TRUE,FALSE
"Bright Lights, Big City (1984), Jay McInerney","Bright Lights, Big City (1988)",1988,0,1988,107,Drama,Drama,NA,NA,5.7,9513,Jay McInerney,"Bright Lights, Big City","[""Jay McInerney""]",3.8,34194,NA,NA,NA,NA,NA,NA,NA,"Apr 1, 1988",25000000,16118077,16118077,1984,4,-0.35527692,TRUE,FALSE
"The Executioners (1957), John D. MacDonald",Cape Fear (1991),1991,0,1991,128,"Crime,Drama,Thriller",Crime,Drama,Thriller,7.3,234950,John D. MacDonald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nov 15, 1991",35000000,79091969,182291969,1957,34,4.208341971428571,FALSE,FALSE
"Carrie (1974), Stephen King",Carrie (1976),1976,0,1976,98,Horror,Horror,NA,NA,7.4,222340,Stephen King,Carrie,"[""Stephen King""]",3.99,733774,NA,NA,NA,NA,NA,NA,NA,"Nov 16, 1976",1800000,25878153,25944555,1974,2,13.413641666666667,TRUE,FALSE
"Carrie (1974), Stephen King",Carrie (2013),2013,0,2013,100,"Drama,Horror,Thriller",Drama,Horror,Thriller,5.8,153943,Stephen King,Carrie,"[""Stephen King""]",3.99,733774,NA,NA,NA,NA,NA,NA,NA,"Oct 18, 2013",30000000,35266619,82409520,1974,39,1.746984,TRUE,FALSE
"Casino Royale (1953), Ian Fleming",Casino Royale (1967),1967,0,1967,131,Comedy,Comedy,NA,NA,5,34247,Ian Fleming,Casino Royale,"[""Ian Fleming""]",3.74,86106,NA,NA,NA,NA,NA,NA,NA,"Apr 28, 1967",12000000,22744718,41744718,1953,14,2.4787265,TRUE,FALSE
"Casino Royale (1953), Ian Fleming",Casino Royale (2006),2006,0,2006,144,"Action,Adventure,Thriller",Action,Adventure,Thriller,8,727789,Ian Fleming,Casino Royale,"[""Ian Fleming""]",3.74,86106,193,"$616,585,752","$167,445,960",27.2%,"$449,139,792",72.8%,2006,"Nov 17, 2006",102000000,167365000,594420216,1953,53,4.8276491764705884,TRUE,FALSE
"Catch-22 (1961), Joseph Heller",Catch-22 (1970),1970,0,1970,122,"Comedy,Drama,War",Comedy,Drama,War,7.1,27837,Joseph Heller,Catch-22,"[""Joseph Heller""]",3.99,836084,NA,NA,NA,NA,NA,NA,NA,"Jun 24, 1970",18000000,24911670,24911670,1961,9,0.38398166666666667,TRUE,FALSE
"Charlie and the Chocolate Factory (1964), Roald Dahl",Charlie and the Chocolate Factory (2005),2005,0,2005,115,"Adventure,Comedy,Family",Adventure,Comedy,Family,6.7,559830,Roald Dahl,NA,NA,NA,NA,289,"$474,968,763","$206,459,076",43.5%,"$268,509,687",56.5%,2005,"Jul 15, 2005",150000000,206459076,475825484,1964,41,2.1721698933333333,TRUE,FALSE
"The Children of Men (1992), P. D. James",Children of Men (2006),2006,0,2006,109,"Drama,Sci-Fi,Thriller",Drama,Sci-Fi,Thriller,7.9,555917,P. D. James,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 25, 2006",76000000,35552383,69845011,1992,14,-0.08098669736842105,FALSE,FALSE
"Chocolat (1999), Joanne Harris",Chocolat (2000),2000,0,2000,121,"Drama,Romance",Drama,Romance,NA,7.2,208226,Joanne Harris,Chocolat,"[""Joanne Harris""]",3.96,126307,NA,NA,NA,NA,NA,NA,NA,"Dec 15, 2000",25000000,71309760,152500343,1999,1,5.10001372,TRUE,FALSE
"Skipping Christmas (2001), John Grisham",Christmas with the Kranks (2004),2004,0,2004,99,"Comedy,Family",Comedy,Family,NA,5.5,62236,John Grisham,Skipping Christmas,"[""John Grisham""]",3.55,77223,NA,NA,NA,NA,NA,NA,NA,"Nov 24, 2004",50000000,73701902,96469187,2001,3,0.92938374,FALSE,FALSE
"Winnie-the-Pooh (1926–1928) (series)[N 18], A.A. Milne",Christopher Robin (2018),2018,0,2018,104,"Adventure,Comedy,Drama",Adventure,Comedy,Drama,7.2,89298,"Winnie-the-Pooh (1926–1928) (series)[N 18], A.A. Milne",NA,NA,4.36,329906,973,"$197,744,825","$99,215,042",50.2%,"$98,529,783",49.8%,2018,"Aug 3, 2018",75000000,99215042,197744377,1926,92,1.6365916933333333,FALSE,TRUE
"The City of Ember (2003), Jeanne DuPrau",City of Ember (2008),2008,0,2008,90,"Adventure,Drama,Family",Adventure,Drama,Family,6.4,72150,Jeanne DuPrau,The City of Ember,"[""Jeanne DuPrau""]",3.89,283782,NA,NA,NA,NA,NA,NA,NA,"Oct 10, 2008",38000000,7873007,17831558,2003,5,-0.5307484736842105,FALSE,FALSE
