...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,movie_match
253,"Atomised (French: Les Particules élémentaires) (1998), Michel Houellebecq",The Elementary Particles (2006),The Elementary Particles,2006,"The Elementary Particles,2006",tt0430051,The Elementary Particles,Elementarteilchen,0,2006,113,"Drama,Romance",6.5,8419,Elementarteilchen,Atomised,Michel Houellebecq,"Atomised,Michel Houellebecq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,"Atomised (French: Les Particules élémentaires) (1998), Michel Houellebecq",The Elementary Particles (2021)[N 1],The Elementary Particles,2021,"The Elementary Particles,2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atomised,Michel Houellebecq,"Atomised,Michel Houellebecq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,"Atonement (2001), Ian McEwan",Atonement (2007),Atonement,2007,"Atonement,2007",tt0783233,Atonement,Atonement,0,2007,123,"Drama,Mystery,Romance",7.8,320482,Atonement,Atonement,Ian McEwan,"Atonement,Ian McEwan",Atonement,"[""Ian McEwan""]",3.94,523755,NA,NA,NA,NA,NA,NA,NA,2243,2243,"Dec 7, 2007",Atonement,30000000,50980159,"$129,779,728",2201,"Atonement,2007"
256,"Audrey Rose (1975), Frank De Felitta",Audrey Rose (1977),Audrey Rose,1977,"Audrey Rose,1977",tt0075704,Audrey Rose,Audrey Rose,0,1977,113,"Drama,Fantasy,Horror",5.8,7144,Audrey Rose,Audrey Rose,Frank De Felitta,"Audrey Rose,Frank De Felitta",Audrey Rose,"[""Frank De Felitta""]",3.89,21696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,"The Auction Block (1914), Rex Beach",The Auction Block (1917),The Auction Block,1917,"The Auction Block,1917",tt0007655,The Auction Block,The Auction Block,0,1917,\N,"Drama,Romance",NA,NA,The Auction Block,The Auction Block,Rex Beach,"The Auction Block,Rex Beach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,"The Auction Block (1914), Rex Beach",The Auction Block (1926),The Auction Block,1926,"The Auction Block,1926",tt0016616,The Auction Block,The Auction Block,0,1926,70,Comedy,NA,NA,The Auction Block,The Auction Block,Rex Beach,"The Auction Block,Rex Beach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,"Audition (オーディション, Ōdishon) (1997), Ryu Murakami",Audition (1999),Audition,1999,"Audition,1999",tt0235198,Audition,Ôdishon,0,1999,115,"Drama,Horror,Mystery",7.1,96594,Ôdishon,Audition,Ryu Murakami,"Audition,Ryu Murakami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,"Auntie Mame (1955), Patrick Dennis",Auntie Mame (1958),Auntie Mame,1958,"Auntie Mame,1958",tt0051383,Auntie Mame,Auntie Mame,0,1958,143,"Comedy,Drama,Romance",7.9,13554,Auntie Mame,Auntie Mame,Patrick Dennis,"Auntie Mame,Patrick Dennis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,"Avalon High (2005), Meg Cabot",Avalon High (2010)[N 1],Avalon High,2010,"Avalon High,2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Avalon High,Meg Cabot,"Avalon High,Meg Cabot",Avalon High,"[""Meg Cabot""]",3.81,46610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,"The Aviator (1981), Ernest K. Gann",The Aviator (1985),The Aviator,1985,"The Aviator,1985",tt0088758,The Aviator,The Aviator,0,1985,96,"Adventure,Drama",5.6,1627,The Aviator,The Aviator,Ernest K. Gann,"The Aviator,Ernest K. Gann",The Aviator,"[""Ernest K. Gann""]",3.76,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
